,"CR/LFINF+DNO/HBET:1,3","CR/LFINF+DNO/HBET:4,7","CR/LFINF+DNO/HBET:8,20","CR/LFM/HBET:1,3","CR/LFM/HBET:4,7","CR/LFM/HBET:8,20",MATO/LN,"MUR+ADO/HBET:1,3","MUR+CB99/HBET:1,3","MUR+CB99/HBET:4,7",MUR+CL99,MUR+STRUB,S,W,W+WWD
0.387572,0.066288,0.08047,0.079011,0.066288,0.08047,0.079011,0.127266,0.236479,0.105687,0.10269,0.16989,0.182587,0.005782,0.194361,0.068954
0.404465,0.072488,0.087024,0.084856,0.072488,0.087024,0.084856,0.140801,0.255204,0.116816,0.11196,0.18555,0.199655,0.006587,0.21104,0.076617
0.422095,0.079298,0.094043,0.091062,0.079298,0.094043,0.091062,0.155396,0.27481,0.128888,0.121864,0.202209,0.217767,0.007487,0.228577,0.085184
0.440493,0.086776,0.101549,0.097645,0.086776,0.101549,0.097645,0.171077,0.295263,0.141946,0.132419,0.219866,0.236911,0.008488,0.246953,0.094757
0.459693,0.094983,0.109565,0.104617,0.094983,0.109565,0.104617,0.187861,0.31652,0.156023,0.143641,0.238512,0.257066,0.009601,0.266142,0.105439
0.479729,0.103979,0.118112,0.111993,0.103979,0.118112,0.111993,0.205753,0.338528,0.171148,0.155546,0.25813,0.2782,0.010836,0.286108,0.117333
0.500639,0.113822,0.12721,0.119785,0.113822,0.12721,0.119785,0.224751,0.361228,0.187344,0.168141,0.278688,0.300268,0.012204,0.306811,0.130536
0.522461,0.124572,0.136879,0.128004,0.124572,0.136879,0.128004,0.244839,0.384548,0.20462,0.181435,0.300148,0.323215,0.013718,0.328201,0.145141
0.545234,0.136283,0.147133,0.136663,0.136283,0.147133,0.136663,0.26599,0.408412,0.222979,0.19543,0.322459,0.346972,0.01539,0.350221,0.161228
0.568999,0.149004,0.157989,0.14577,0.149004,0.157989,0.14577,0.288164,0.432733,0.242412,0.210124,0.34556,0.371464,0.017234,0.372807,0.178863
0.5938,0.16278,0.169459,0.155334,0.16278,0.169459,0.155334,0.311306,0.45742,0.262897,0.225512,0.369378,0.3966,0.019266,0.39589,0.198097
0.619682,0.177647,0.181551,0.165363,0.177647,0.181551,0.165363,0.335352,0.482377,0.284403,0.241583,0.393833,0.422283,0.021503,0.419394,0.218959
0.646693,0.193632,0.194273,0.175861,0.193632,0.194273,0.175861,0.360221,0.507501,0.306881,0.258322,0.418835,0.448407,0.023962,0.443239,0.241453
0.67488,0.210753,0.207627,0.186833,0.210753,0.207627,0.186833,0.385823,0.532689,0.330274,0.275708,0.444284,0.474858,0.026664,0.467339,0.265559
0.704296,0.229017,0.221613,0.198279,0.229017,0.221613,0.198279,0.412055,0.557835,0.35451,0.293716,0.470076,0.501518,0.029629,0.491607,0.291228
0.734995,0.248417,0.236225,0.210201,0.248417,0.236225,0.210201,0.438805,0.582832,0.379506,0.312316,0.4961,0.528263,0.03288,0.515951,0.318383
0.767031,0.268933,0.251457,0.222596,0.268933,0.251457,0.222596,0.465951,0.607577,0.405165,0.331471,0.522241,0.554969,0.036442,0.540279,0.346916
0.800464,0.290532,0.267295,0.23546,0.290532,0.267295,0.23546,0.493366,0.631967,0.431384,0.351142,0.548381,0.58151,0.04034,0.5645,0.376691
0.835354,0.313166,0.283722,0.248785,0.313166,0.283722,0.248785,0.520915,0.655903,0.458046,0.371283,0.574401,0.607763,0.044602,0.588522,0.407544
0.871765,0.336773,0.300716,0.262564,0.336773,0.300716,0.262564,0.548463,0.679292,0.48503,0.391844,0.600185,0.633606,0.049257,0.612254,0.439287
0.909763,0.361276,0.318254,0.276785,0.361276,0.318254,0.276785,0.575871,0.702047,0.512206,0.412773,0.625618,0.658924,0.054335,0.635612,0.471709
0.949417,0.386586,0.336303,0.291433,0.386586,0.336303,0.291433,0.603003,0.72409,0.539443,0.434012,0.650587,0.683607,0.059868,0.65851,0.504581
0.9908,0.412599,0.354831,0.306493,0.412599,0.354831,0.306493,0.629725,0.745348,0.566606,0.455501,0.674987,0.707556,0.065889,0.680873,0.537664
1.033986,0.439202,0.373798,0.321947,0.439202,0.373798,0.321947,0.65591,0.76576,0.59356,0.477176,0.698721,0.730679,0.07243,0.702626,0.57071
1.079055,0.466269,0.393163,0.337772,0.466269,0.393163,0.337772,0.681437,0.785272,0.620174,0.498973,0.721699,0.752896,0.079527,0.723705,0.603467
1.126088,0.493668,0.412881,0.353947,0.493668,0.412881,0.353947,0.706193,0.803841,0.646318,0.520824,0.743838,0.774135,0.087214,0.744049,0.635693
